func,type,x1,x2,p,w,L
lowheight,1,2600,10,75,30,66.08344518
lowheight,1,2600,10,90,20,71.34247988
lowheight,1,2600,10,90,30,71.34247988
lowheight,1,2600,10,95,20,74.64299618
lowheight,1,2600,10,95,30,74.64299618
lowheight,1,2600,50,5,20,65.35484184
lowheight,1,2600,50,5,30,65.35484184
lowheight,1,2600,50,10,20,66.87234683
lowheight,1,2600,50,10,30,66.87234683
lowheight,1,2600,50,25,20,70.14774356
lowheight,1,2600,50,25,30,70.14774356
lowheight,1,2600,50,50,20,85.78500411
lowheight,1,2600,50,50,30,82.22886271
lowheight,1,2600,50,75,20,115.8540291
lowheight,1,2600,50,75,30,108.3403279
lowheight,1,2600,50,90,20,120.1034618
lowheight,1,2600,50,90,30,120.1034618
lowheight,1,2600,50,95,20,122.6465762
lowheight,1,2600,50,95,30,122.6465762
lowheight,1,2600,100,5,20,71.37544176
lowheight,1,2600,100,5,30,71.37544176
lowheight,1,2600,100,10,20,72.89294674
lowheight,1,2600,100,10,30,72.89294674
lowheight,1,2600,100,25,20,76.16834347
lowheight,1,2600,100,25,30,76.16834347
lowheight,1,2600,100,50,20,123.1738007
lowheight,1,2600,100,50,30,123.1738007
lowheight,1,2600,100,75,20,127.8952289
lowheight,1,2600,100,75,30,127.8952289
lowheight,1,2600,100,90,20,132.1446616
lowheight,1,2600,100,90,30,132.1446616
lowheight,1,2600,100,95,20,134.687776
lowheight,1,2600,100,95,30,134.687776
lowheight,1,2600,500,5,20,139.6186254
lowheight,1,2600,500,5,30,139.6186254
lowheight,1,2600,500,10,20,142.1617399
lowheight,1,2600,500,10,30,142.1617399
lowheight,1,2600,500,25,20,146.4111726
lowheight,1,2600,500,25,30,146.4111726
lowheight,1,2600,500,50,20,151.1326008
lowheight,1,2600,500,50,30,151.1326008
lowheight,1,2600,500,75,20,155.8540291
lowheight,1,2600,500,75,30,155.8540291
lowheight,1,2600,500,90,20,160.1034618
lowheight,1,2600,500,90,30,160.1034618
lowheight,1,2600,500,95,20,162.6465762
lowheight,1,2600,500,95,30,162.6465762
lowheight,1,2600,1000,5,20,151.6598253
lowheight,1,2600,1000,5,30,151.6598253
lowheight,1,2600,1000,10,20,154.2029397
lowheight,1,2600,1000,10,30,154.2029397
lowheight,1,2600,1000,25,20,158.4523724
lowheight,1,2600,1000,25,30,158.4523724
lowheight,1,2600,1000,50,20,163.1738007
